Fecha,Sucursal,Departamento,Categoría,Unidades_Vendidas,Venta_USD
2024-10-01,Panamá Norte,Abarrotes,Bebidas,72997,3016252.93
2024-11-01,Panamá Norte,Abarrotes,Bebidas,81330,3345785.51
2024-12-01,Panamá Norte,Abarrotes,Bebidas,100572,4089191.03
2025-01-01,Panamá Norte,Abarrotes,Bebidas,60919,2339130.27
2025-02-01,Panamá Norte,Abarrotes,Bebidas,69003,2898298.23
2025-03-01,Panamá Norte,Abarrotes,Bebidas,80007,3361564.69
2025-04-01,Panamá Norte,Abarrotes,Bebidas,75032,3508393.62
2025-05-01,Panamá Norte,Abarrotes,Bebidas,79535,3074330.31
2025-06-01,Panamá Norte,Abarrotes,Bebidas,76733,3217539.6
2025-07-01,Panamá Norte,Abarrotes,Bebidas,94584,3388182.93
2025-08-01,Panamá Norte,Abarrotes,Bebidas,84056,3457191.56
2025-09-01,Panamá Norte,Abarrotes,Bebidas,82057,3239968.86
2025-10-01,Panamá Norte,Abarrotes,Bebidas,74424,3097076.48
2022-01-01,Panamá Norte,Abarrotes,Lácteos,33824,1032877.39
2022-02-01,Panamá Norte,Abarrotes,Lácteos,38205,1075065.67
2022-03-01,Panamá Norte,Abarrotes,Lácteos,42618,1287832.85
2022-04-01,Panamá Norte,Abarrotes,Lácteos,47998,1266462.86
2022-05-01,Panamá Norte,Abarrotes,Lácteos,46994,1435545.55
2022-06-01,Panamá Norte,Abarrotes,Lácteos,42755,1345536.43
2022-07-01,Panamá Norte,Abarrotes,Lácteos,49378,1539798.01
2022-08-01,Panamá Norte,Abarrotes,Lácteos,50804,1511329.39
2022-09-01,Panamá Norte,Abarrotes,Lácteos,44522,1327352.14
2022-10-01,Panamá Norte,Abarrotes,Lácteos,43633,1372374.44
2022-11-01,Panamá Norte,Abarrotes,Lácteos,56244,1762612.21
2022-12-01,Panamá Norte,Abarrotes,Lácteos,72143,1850274.12
2023-01-01,Panamá Norte,Abarrotes,Lácteos,35938,1032004.11
2023-02-01,Panamá Norte,Abarrotes,Lácteos,44423,1223976.44
2023-03-01,Panamá Norte,Abarrotes,Lácteos,53167,1401331.48
2023-04-01,Panamá Norte,Abarrotes,Lácteos,47872,1632363.23
2023-05-01,Panamá Norte,Abarrotes,Lácteos,52830,1595812.71
2023-06-01,Panamá Norte,Abarrotes,Lácteos,49187,1543286.58
2023-07-01,Panamá Norte,Abarrotes,Lácteos,57046,1776340.57
2023-08-01,Panamá Norte,Abarrotes,Lácteos,51873,1594475.39
2023-09-01,Panamá Norte,Abarrotes,Lácteos,50885,1408952.23
2023-10-01,Panamá Norte,Abarrotes,Lácteos,46383,1621198.01
2023-11-01,Panamá Norte,Abarrotes,Lácteos,64694,1818009.95
2023-12-01,Panamá Norte,Abarrotes,Lácteos,68198,2233851.49
2024-01-01,Panamá Norte,Abarrotes,Lácteos,38205,1308776.85
2024-02-01,Panamá Norte,Abarrotes,Lácteos,41952,1324375.34
2024-03-01,Panamá Norte,Abarrotes,Lácteos,55335,1490839.42
2024-04-01,Panamá Norte,Abarrotes,Lácteos,56277,1528961.55
2024-05-01,Panamá Norte,Abarrotes,Lácteos,49093,1593371.76
2024-06-01,Panamá Norte,Abarrotes,Lácteos,54479,1719786.72
2024-07-01,Panamá Norte,Abarrotes,Lácteos,56512,1906960.59
2024-08-01,Panamá Norte,Abarrotes,Lácteos,55925,1457498.1
2024-09-01,Panamá Norte,Abarrotes,Lácteos,50808,1620419.84
2024-10-01,Panamá Norte,Abarrotes,Lácteos,56423,1590235.92
2024-11-01,Panamá Norte,Abarrotes,Lácteos,63739,1832492.46
2024-12-01,Panamá Norte,Abarrotes,Lácteos,82732,2091618.17
2025-01-01,Panamá Norte,Abarrotes,Lácteos,40667,1262122.55
2025-02-01,Panamá Norte,Abarrotes,Lácteos,48112,1609381.49
2025-03-01,Panamá Norte,Abarrotes,Lácteos,53941,1677816.58
2025-04-01,Panamá Norte,Abarrotes,Lácteos,63426,1745854.41
2025-05-01,Panamá Norte,Abarrotes,Lácteos,62872,1809940.74
2025-06-01,Panamá Norte,Abarrotes,Lácteos,55630,1691879.55
2025-07-01,Panamá Norte,Abarrotes,Lácteos,66364,2093777.0
2025-08-01,Panamá Norte,Abarrotes,Lácteos,62169,1900186.41
2025-09-01,Panamá Norte,Abarrotes,Lácteos,59106,1652971.94
2025-10-01,Panamá Norte,Abarrotes,Lácteos,58807,1738360.69
2022-01-01,Panamá Norte,Abarrotes,Enlatados,66753,961524.99
2022-02-01,Panamá Norte,Abarrotes,Enlatados,68767,1035787.6
2022-03-01,Panamá Norte,Abarrotes,Enlatados,94107,1148762.45
2022-04-01,Panamá Norte,Abarrotes,Enlatados,94340,1151179.08
2022-05-01,Panamá Norte,Abarrotes,Enlatados,93664,1240616.79
2022-06-01,Panamá Norte,Abarrotes,Enlatados,84242,1281248.07
2022-07-01,Panamá Norte,Abarrotes,Enlatados,85917,1406755.31
2022-08-01,Panamá Norte,Abarrotes,Enlatados,93897,1253417.11
2022-09-01,Panamá Norte,Abarrotes,Enlatados,85246,1220693.63
2022-10-01,Panamá Norte,Abarrotes,Enlatados,94560,1088252.82
2022-11-01,Panamá Norte,Abarrotes,Enlatados,113409,1327977.94
2022-12-01,Panamá Norte,Abarrotes,Enlatados,129632,1794227.19
2023-01-01,Panamá Norte,Abarrotes,Enlatados,67605,988204.14
2023-02-01,Panamá Norte,Abarrotes,Enlatados,78068,988977.12
2023-03-01,Panamá Norte,Abarrotes,Enlatados,100607,1187311.97
2023-04-01,Panamá Norte,Abarrotes,Enlatados,90563,1332331.92
2023-05-01,Panamá Norte,Abarrotes,Enlatados,87791,1162435.42
2023-06-01,Panamá Norte,Abarrotes,Enlatados,95073,1202622.49
2023-07-01,Panamá Norte,Abarrotes,Enlatados,112426,1432990.33
2023-08-01,Panamá Norte,Abarrotes,Enlatados,97691,1339658.25
2023-09-01,Panamá Norte,Abarrotes,Enlatados,95322,1329354.14
2023-10-01,Panamá Norte,Abarrotes,Enlatados,86432,1218997.32
2023-11-01,Panamá Norte,Abarrotes,Enlatados,115401,1613870.53
2023-12-01,Panamá Norte,Abarrotes,Enlatados,144506,1711285.07
2024-01-01,Panamá Norte,Abarrotes,Enlatados,71115,1014983.15
2024-02-01,Panamá Norte,Abarrotes,Enlatados,87168,1250697.17
2024-03-01,Panamá Norte,Abarrotes,Enlatados,109887,1444243.91
2024-04-01,Panamá Norte,Abarrotes,Enlatados,107096,1500220.21
2024-05-01,Panamá Norte,Abarrotes,Enlatados,106202,1446481.95
2024-06-01,Panamá Norte,Abarrotes,Enlatados,106314,1421436.05
2024-07-01,Panamá Norte,Abarrotes,Enlatados,109235,1417154.51
2024-08-01,Panamá Norte,Abarrotes,Enlatados,97958,1365178.66
2024-09-01,Panamá Norte,Abarrotes,Enlatados,108498,1336428.18
2024-10-01,Panamá Norte,Abarrotes,Enlatados,108513,1330478.95
2024-11-01,Panamá Norte,Abarrotes,Enlatados,131612,1841924.42
2024-12-01,Panamá Norte,Abarrotes,Enlatados,154869,1921216.02
2025-01-01,Panamá Norte,Abarrotes,Enlatados,83481,1232750.94
2025-02-01,Panamá Norte,Abarrotes,Enlatados,94427,1329514.63
2025-03-01,Panamá Norte,Abarrotes,Enlatados,117682,1614027.51
2025-04-01,Panamá Norte,Abarrotes,Enlatados,114387,1524963.48
2025-05-01,Panamá Norte,Abarrotes,Enlatados,115543,1547602.37
2025-06-01,Panamá Norte,Abarrotes,Enlatados,117627,1521878.77
2025-07-01,Panamá Norte,Abarrotes,Enlatados,131691,1574385.94
2025-08-01,Panamá Norte,Abarrotes,Enlatados,107458,1591970.12
2025-09-01,Panamá Norte,Abarrotes,Enlatados,108293,1457332.03
2025-10-01,Panamá Norte,Abarrotes,Enlatados,102038,1379155.94
2022-01-01,Panamá Norte,Abarrotes,Cereales,22967,814394.41
2022-02-01,Panamá Norte,Abarrotes,Cereales,24685,1086914.3
2022-03-01,Panamá Norte,Abarrotes,Cereales,29057,1245387.39
2022-04-01,Panamá Norte,Abarrotes,Cereales,30431,1250395.86
2022-05-01,Panamá Norte,Abarrotes,Cereales,34656,1108068.33
2022-06-01,Panamá Norte,Abarrotes,Cereales,29570,1058752.19
2022-07-01,Panamá Norte,Abarrotes,Cereales,31427,1232478.16
2022-08-01,Panamá Norte,Abarrotes,Cereales,33289,1174976.04
2022-09-01,Panamá Norte,Abarrotes,Cereales,33565,1125889.77
2022-10-01,Panamá Norte,Abarrotes,Cereales,30651,1242806.43
2022-11-01,Panamá Norte,Abarrotes,Cereales,37680,1335641.9
2022-12-01,Panamá Norte,Abarrotes,Cereales,45599,1784794.29
2023-01-01,Panamá Norte,Abarrotes,Cereales,23081,927842.06
2023-02-01,Panamá Norte,Abarrotes,Cereales,31341,1133170.68
2023-03-01,Panamá Norte,Abarrotes,Cereales,36449,1171517.79
2023-04-01,Panamá Norte,Abarrotes,Cereales,32214,1225665.25
2023-05-01,Panamá Norte,Abarrotes,Cereales,30553,1297577.32
2023-06-01,Panamá Norte,Abarrotes,Cereales,36765,1157535.85
2023-07-01,Panamá Norte,Abarrotes,Cereales,37223,1271750.05
2023-08-01,Panamá Norte,Abarrotes,Cereales,34099,1364964.0
2023-09-01,Panamá Norte,Abarrotes,Cereales,35077,1301341.37
2023-10-01,Panamá Norte,Abarrotes,Cereales,34616,1133257.5
2023-11-01,Panamá Norte,Abarrotes,Cereales,44203,1467045.05
2023-12-01,Panamá Norte,Abarrotes,Cereales,51574,1723676.01
2024-01-01,Panamá Norte,Abarrotes,Cereales,29140,1050071.36
2024-02-01,Panamá Norte,Abarrotes,Cereales,31605,1078158.33
2024-03-01,Panamá Norte,Abarrotes,Cereales,38374,1250659.71
2024-04-01,Panamá Norte,Abarrotes,Cereales,37478,1223036.96
2024-05-01,Panamá Norte,Abarrotes,Cereales,36726,1315799.59
2024-06-01,Panamá Norte,Abarrotes,Cereales,33506,1385265.91
2024-07-01,Panamá Norte,Abarrotes,Cereales,42293,1338680.03
2024-08-01,Panamá Norte,Abarrotes,Cereales,38516,1445795.73
2024-09-01,Panamá Norte,Abarrotes,Cereales,37107,1319547.5
2024-10-01,Panamá Norte,Abarrotes,Cereales,38515,1265465.16
2024-11-01,Panamá Norte,Abarrotes,Cereales,44750,1471809.47
2024-12-01,Panamá Norte,Abarrotes,Cereales,47701,1750374.99
2025-01-01,Panamá Norte,Abarrotes,Cereales,27729,1164238.59
2025-02-01,Panamá Norte,Abarrotes,Cereales,31036,1247521.17
2025-03-01,Panamá Norte,Abarrotes,Cereales,37773,1432946.03
2025-04-01,Panamá Norte,Abarrotes,Cereales,35153,1473053.54
2025-05-01,Panamá Norte,Abarrotes,Cereales,39639,1409802.89
2025-06-01,Panamá Norte,Abarrotes,Cereales,37458,1493884.35
2025-07-01,Panamá Norte,Abarrotes,Cereales,43922,1428887.57
2025-08-01,Panamá Norte,Abarrotes,Cereales,37836,1447039.55
2025-09-01,Panamá Norte,Abarrotes,Cereales,40130,1330674.33
2025-10-01,Panamá Norte,Abarrotes,Cereales,37489,1319682.56
2022-01-01,Panamá Norte,Abarrotes,Snacks,10419,410412.84
2022-02-01,Panamá Norte,Abarrotes,Snacks,12405,388351.86
2022-03-01,Panamá Norte,Abarrotes,Snacks,13845,495007.99
2022-04-01,Panamá Norte,Abarrotes,Snacks,14243,550330.57
2022-05-01,Panamá Norte,Abarrotes,Snacks,14322,508095.53
2022-06-01,Panamá Norte,Abarrotes,Snacks,14247,495564.09
2022-07-01,Panamá Norte,Abarrotes,Snacks,14461,561180.18
2022-08-01,Panamá Norte,Abarrotes,Snacks,12603,510909.07
2022-09-01,Panamá Norte,Abarrotes,Snacks,13067,526583.13
2022-10-01,Panamá Norte,Abarrotes,Snacks,14389,465792.71
2022-11-01,Panamá Norte,Abarrotes,Snacks,14880,573726.37
2022-12-01,Panamá Norte,Abarrotes,Snacks,18731,715923.64
2023-01-01,Panamá Norte,Abarrotes,Snacks,10141,433707.74
2023-02-01,Panamá Norte,Abarrotes,Snacks,12338,463579.8
2023-03-01,Panamá Norte,Abarrotes,Snacks,15321,510557.47
2023-04-01,Panamá Norte,Abarrotes,Snacks,15370,558099.48
2023-05-01,Panamá Norte,Abarrotes,Snacks,13531,564571.05
2023-06-01,Panamá Norte,Abarrotes,Snacks,15448,510518.61
2023-07-01,Panamá Norte,Abarrotes,Snacks,16000,578102.99
2023-08-01,Panamá Norte,Abarrotes,Snacks,13855,542420.8
2023-09-01,Panamá Norte,Abarrotes,Snacks,14878,538351.7
2023-10-01,Panamá Norte,Abarrotes,Snacks,14231,526829.17
2023-11-01,Panamá Norte,Abarrotes,Snacks,16722,620302.23
2023-12-01,Panamá Norte,Abarrotes,Snacks,20817,693871.93
2024-01-01,Panamá Norte,Abarrotes,Snacks,10891,393882.34
2024-02-01,Panamá Norte,Abarrotes,Snacks,12555,535126.98
2024-03-01,Panamá Norte,Abarrotes,Snacks,15089,616713.01
2024-04-01,Panamá Norte,Abarrotes,Snacks,14536,559940.73
2024-05-01,Panamá Norte,Abarrotes,Snacks,15000,629360.39
2024-06-01,Panamá Norte,Abarrotes,Snacks,15508,597063.01
2024-07-01,Panamá Norte,Abarrotes,Snacks,17629,632125.22
2024-08-01,Panamá Norte,Abarrotes,Snacks,16107,575870.86
2024-09-01,Panamá Norte,Abarrotes,Snacks,16277,528613.33
2024-10-01,Panamá Norte,Abarrotes,Snacks,16036,529584.42
2024-11-01,Panamá Norte,Abarrotes,Snacks,19012,706188.33
2024-12-01,Panamá Norte,Abarrotes,Snacks,20282,816016.72
2025-01-01,Panamá Norte,Abarrotes,Snacks,12030,436376.5
2025-02-01,Panamá Norte,Abarrotes,Snacks,13850,571531.02
2025-03-01,Panamá Norte,Abarrotes,Snacks,15001,652031.0
2025-04-01,Panamá Norte,Abarrotes,Snacks,16460,569580.25
2025-05-01,Panamá Norte,Abarrotes,Snacks,16158,670504.76
2025-06-01,Panamá Norte,Abarrotes,Snacks,17356,675852.95
2025-07-01,Panamá Norte,Abarrotes,Snacks,19724,746382.94
2025-08-01,Panamá Norte,Abarrotes,Snacks,16550,562469.74
2025-09-01,Panamá Norte,Abarrotes,Snacks,15786,646566.58
2025-10-01,Panamá Norte,Abarrotes,Snacks,14872,622970.85
2022-01-01,Panamá Norte,Electrónica,TV,57614,764525.63
2022-02-01,Panamá Norte,Electrónica,TV,60775,795773.38
2022-03-01,Panamá Norte,Electrónica,TV,70725,956016.29
2022-04-01,Panamá Norte,Electrónica,TV,68690,968382.6
2022-05-01,Panamá Norte,Electrónica,TV,65567,923426.37
2022-06-01,Panamá Norte,Electrónica,TV,77199,955673.25
2022-07-01,Panamá Norte,Electrónica,TV,84099,1042374.83
2022-08-01,Panamá Norte,Electrónica,TV,79141,1006666.75
2022-09-01,Panamá Norte,Electrónica,TV,79097,847179.39
2022-10-01,Panamá Norte,Electrónica,TV,72748,891074.96
2022-11-01,Panamá Norte,Electrónica,TV,90986,1219015.92
2022-12-01,Panamá Norte,Electrónica,TV,109691,1406490.8
2023-01-01,Panamá Norte,Electrónica,TV,62160,745799.35
2023-02-01,Panamá Norte,Electrónica,TV,62516,873292.35
2023-03-01,Panamá Norte,Electrónica,TV,76697,958626.47
2023-04-01,Panamá Norte,Electrónica,TV,71718,940715.6
2023-05-01,Panamá Norte,Electrónica,TV,84498,996012.77
2023-06-01,Panamá Norte,Electrónica,TV,79108,973870.77
2023-07-01,Panamá Norte,Electrónica,TV,80585,1122091.75
2023-08-01,Panamá Norte,Electrónica,TV,80123,918565.51
2023-09-01,Panamá Norte,Electrónica,TV,79293,1098488.81
2023-10-01,Panamá Norte,Electrónica,TV,75266,1100859.79
2023-11-01,Panamá Norte,Electrónica,TV,85771,1251672.05
2023-12-01,Panamá Norte,Electrónica,TV,112170,1414756.14
2024-01-01,Panamá Norte,Electrónica,TV,62802,779262.7
2024-02-01,Panamá Norte,Electrónica,TV,74749,975762.05
2024-03-01,Panamá Norte,Electrónica,TV,83734,1120073.3
2024-04-01,Panamá Norte,Electrónica,TV,89272,1007279.37
2024-05-01,Panamá Norte,Electrónica,TV,84264,1168939.11
2024-06-01,Panamá Norte,Electrónica,TV,84414,1149843.96
2024-07-01,Panamá Norte,Electrónica,TV,98649,1295070.6
2024-08-01,Panamá Norte,Electrónica,TV,81788,1128928.13
2024-09-01,Panamá Norte,Electrónica,TV,77293,1104666.69
2024-10-01,Panamá Norte,Electrónica,TV,75538,1062503.05
2024-11-01,Panamá Norte,Electrónica,TV,105184,1408378.7
2024-12-01,Panamá Norte,Electrónica,TV,119567,1622946.02
2025-01-01,Panamá Norte,Electrónica,TV,70089,792860.76
2025-02-01,Panamá Norte,Electrónica,TV,71938,894848.61
2025-03-01,Panamá Norte,Electrónica,TV,83258,1134190.09
2025-04-01,Panamá Norte,Electrónica,TV,81070,1235152.71
2025-05-01,Panamá Norte,Electrónica,TV,87104,1276255.7
2025-06-01,Panamá Norte,Electrónica,TV,91402,1081615.17
2025-07-01,Panamá Norte,Electrónica,TV,96638,1303297.77
2025-08-01,Panamá Norte,Electrónica,TV,88665,1135219.85
2025-09-01,Panamá Norte,Electrónica,TV,97045,1272217.63
2025-10-01,Panamá Norte,Electrónica,TV,87063,1242494.38
2022-01-01,Panamá Norte,Electrónica,Celulares,38365,1125697.01
2022-02-01,Panamá Norte,Electrónica,Celulares,48343,1335788.96
2022-03-01,Panamá Norte,Electrónica,Celulares,61214,1625960.63
2022-04-01,Panamá Norte,Electrónica,Celulares,56197,1656877.26
2022-05-01,Panamá Norte,Electrónica,Celulares,60520,1551415.6
2022-06-01,Panamá Norte,Electrónica,Celulares,52844,1671148.29
2022-07-01,Panamá Norte,Electrónica,Celulares,64558,1813083.38
2022-08-01,Panamá Norte,Electrónica,Celulares,56138,1428440.08
2022-09-01,Panamá Norte,Electrónica,Celulares,58249,1422066.32
2022-10-01,Panamá Norte,Electrónica,Celulares,50905,1601924.23
2022-11-01,Panamá Norte,Electrónica,Celulares,62230,1819679.83
2022-12-01,Panamá Norte,Electrónica,Celulares,72373,2062397.92
2023-01-01,Panamá Norte,Electrónica,Celulares,47198,1295847.09
2023-02-01,Panamá Norte,Electrónica,Celulares,55113,1399791.14
2023-03-01,Panamá Norte,Electrónica,Celulares,63688,1713378.73
2023-04-01,Panamá Norte,Electrónica,Celulares,54964,1687138.82
2023-05-01,Panamá Norte,Electrónica,Celulares,65115,1729536.33
2023-06-01,Panamá Norte,Electrónica,Celulares,58891,1666792.06
2023-07-01,Panamá Norte,Electrónica,Celulares,65354,1944732.6
2023-08-01,Panamá Norte,Electrónica,Celulares,55866,1591881.76
2023-09-01,Panamá Norte,Electrónica,Celulares,63540,1767542.09
2023-10-01,Panamá Norte,Electrónica,Celulares,56805,1670656.3
2023-11-01,Panamá Norte,Electrónica,Celulares,73723,2193629.53
2023-12-01,Panamá Norte,Electrónica,Celulares,90711,2388240.86
2024-01-01,Panamá Norte,Electrónica,Celulares,45403,1518130.87
2024-02-01,Panamá Norte,Electrónica,Celulares,56459,1603864.32
2024-03-01,Panamá Norte,Electrónica,Celulares,62437,1747067.79
2024-04-01,Panamá Norte,Electrónica,Celulares,63885,1968210.43
2024-05-01,Panamá Norte,Electrónica,Celulares,65613,1791904.8
2024-06-01,Panamá Norte,Electrónica,Celulares,64045,1792842.93
2024-07-01,Panamá Norte,Electrónica,Celulares,74712,1843646.33
2024-08-01,Panamá Norte,Electrónica,Celulares,65687,1867216.29
2024-09-01,Panamá Norte,Electrónica,Celulares,67067,1861930.61
2024-10-01,Panamá Norte,Electrónica,Celulares,69081,1795939.33
2024-11-01,Panamá Norte,Electrónica,Celulares,80062,2393996.03
2024-12-01,Panamá Norte,Electrónica,Celulares,93938,2396654.08
2025-01-01,Panamá Norte,Electrónica,Celulares,54480,1456753.67
2025-02-01,Panamá Norte,Electrónica,Celulares,59480,1648076.37
2025-03-01,Panamá Norte,Electrónica,Celulares,69384,1846707.62
2025-04-01,Panamá Norte,Electrónica,Celulares,77448,2003078.63
2025-05-01,Panamá Norte,Electrónica,Celulares,73258,2086174.95
2025-06-01,Panamá Norte,Electrónica,Celulares,68049,2015348.34
2025-07-01,Panamá Norte,Electrónica,Celulares,78859,2059992.42
2025-08-01,Panamá Norte,Electrónica,Celulares,69282,1961313.42
2025-09-01,Panamá Norte,Electrónica,Celulares,77936,1810638.15
2025-10-01,Panamá Norte,Electrónica,Celulares,64652,2158766.39
2022-01-01,Panamá Norte,Electrónica,Audio,77870,1937188.3
2022-02-01,Panamá Norte,Electrónica,Audio,76791,1882444.29
2022-03-01,Panamá Norte,Electrónica,Audio,104934,2561218.45
2022-04-01,Panamá Norte,Electrónica,Audio,102879,2199080.45
2022-05-01,Panamá Norte,Electrónica,Audio,96261,2578812.98
2022-06-01,Panamá Norte,Electrónica,Audio,106546,2197140.9
2022-07-01,Panamá Norte,Electrónica,Audio,118451,2399123.77
2022-08-01,Panamá Norte,Electrónica,Audio,92270,2508649.17
2022-09-01,Panamá Norte,Electrónica,Audio,95687,2653605.51
2022-10-01,Panamá Norte,Electrónica,Audio,106419,2605022.56
2022-11-01,Panamá Norte,Electrónica,Audio,122881,2940310.26
2022-12-01,Panamá Norte,Electrónica,Audio,124870,3661078.34
2023-01-01,Panamá Norte,Electrónica,Audio,83480,1752815.11
2023-02-01,Panamá Norte,Electrónica,Audio,95442,2414123.63
2023-03-01,Panamá Norte,Electrónica,Audio,110653,2588909.32
2023-04-01,Panamá Norte,Electrónica,Audio,111686,2709333.81
2023-05-01,Panamá Norte,Electrónica,Audio,112226,2760152.53
2023-06-01,Panamá Norte,Electrónica,Audio,98765,2707031.2
2023-07-01,Panamá Norte,Electrónica,Audio,109784,2873071.66
2023-08-01,Panamá Norte,Electrónica,Audio,108193,2581579.87
2023-09-01,Panamá Norte,Electrónica,Audio,113969,2769345.2
2023-10-01,Panamá Norte,Electrónica,Audio,101500,2440719.76
2023-11-01,Panamá Norte,Electrónica,Audio,128682,3403771.6
2023-12-01,Panamá Norte,Electrónica,Audio,152922,3784393.42
2024-01-01,Panamá Norte,Electrónica,Audio,84112,1964831.82
2024-02-01,Panamá Norte,Electrónica,Audio,100368,2481137.84
2024-03-01,Panamá Norte,Electrónica,Audio,122290,2803922.45
2024-04-01,Panamá Norte,Electrónica,Audio,116049,2902809.89
2024-05-01,Panamá Norte,Electrónica,Audio,114139,2936563.62
2024-06-01,Panamá Norte,Electrónica,Audio,111851,2557219.69
2024-07-01,Panamá Norte,Electrónica,Audio,126492,3069759.66
2024-08-01,Panamá Norte,Electrónica,Audio,109962,3028117.58
2024-09-01,Panamá Norte,Electrónica,Audio,110781,2687303.54
2024-10-01,Panamá Norte,Electrónica,Audio,113960,2839623.75
2024-11-01,Panamá Norte,Electrónica,Audio,124108,3257267.34
2024-12-01,Panamá Norte,Electrónica,Audio,149942,3866511.94
2025-01-01,Panamá Norte,Electrónica,Audio,92049,2268323.63
2025-02-01,Panamá Norte,Electrónica,Audio,102020,2570929.14
2025-03-01,Panamá Norte,Electrónica,Audio,117621,2816632.92
2025-04-01,Panamá Norte,Electrónica,Audio,127301,3105885.16
2025-05-01,Panamá Norte,Electrónica,Audio,126404,2748422.19
2025-06-01,Panamá Norte,Electrónica,Audio,113579,2778948.44
2025-07-01,Panamá Norte,Electrónica,Audio,143995,2967148.42
2025-08-01,Panamá Norte,Electrónica,Audio,121578,2765691.95
2025-09-01,Panamá Norte,Electrónica,Audio,127566,2979240.03
2025-10-01,Panamá Norte,Electrónica,Audio,123470,3058876.89
2022-01-01,Panamá Norte,Electrónica,Electrodomésticos,26312,1204709.21
2022-02-01,Panamá Norte,Electrónica,Electrodomésticos,30550,1200975.37
2022-03-01,Panamá Norte,Electrónica,Electrodomésticos,35408,1431601.39
2022-04-01,Panamá Norte,Electrónica,Electrodomésticos,35565,1586649.09
2022-05-01,Panamá Norte,Electrónica,Electrodomésticos,40507,1519677.56
2022-06-01,Panamá Norte,Electrónica,Electrodomésticos,36672,1598994.98
2022-07-01,Panamá Norte,Electrónica,Electrodomésticos,40167,1540743.2
2022-08-01,Panamá Norte,Electrónica,Electrodomésticos,35877,1532610.34
2022-09-01,Panamá Norte,Electrónica,Electrodomésticos,38765,1484634.18
2022-10-01,Panamá Norte,Electrónica,Electrodomésticos,37030,1508424.09
2022-11-01,Panamá Norte,Electrónica,Electrodomésticos,47760,1863772.28
2022-12-01,Panamá Norte,Electrónica,Electrodomésticos,49996,2131087.49
2023-01-01,Panamá Norte,Electrónica,Electrodomésticos,32542,1243638.42
2023-02-01,Panamá Norte,Electrónica,Electrodomésticos,35597,1394494.08
2023-03-01,Panamá Norte,Electrónica,Electrodomésticos,37862,1615114.84
2023-04-01,Panamá Norte,Electrónica,Electrodomésticos,40326,1734522.82
2023-05-01,Panamá Norte,Electrónica,Electrodomésticos,44011,1484577.85
2023-06-01,Panamá Norte,Electrónica,Electrodomésticos,44498,1677458.88
2023-07-01,Panamá Norte,Electrónica,Electrodomésticos,44821,1833285.32
2023-08-01,Panamá Norte,Electrónica,Electrodomésticos,40870,1716195.79
2023-09-01,Panamá Norte,Electrónica,Electrodomésticos,44461,1677651.9
2023-10-01,Panamá Norte,Electrónica,Electrodomésticos,41742,1752591.23
